,Continent,country,CO2_per_capita_2016,crimeIndex,epi_score2022,happiness2021,fem_life_expectancy,male_life_expectancy,religion,homosexuality_score,avg_schooling,malnourishment_2016_18,protein_supply_2017,political_stability_2020,food_insecurity_2017,obesity_2016
0,Africa,Algeria,3.85,52.03,53.2,4.887,78.76,76.3,muslims,0,8,2.7,89.3,-0.86,19.7,27.4
1,Africa,Angola,1.06,66.48,12.8,4.532128205128205,65.12,59.46,christians,3,5,15.4,52.4,-0.52,52.490909090909085,8.2
2,Africa,Benin,0.6,53.97409090909091,13.4,5.045,64.45,61.23,christians,1,4,7.9,64.3,-0.44,66.3,9.6
3,Africa,Botswana,2.98,52.98,20.8,3.467,72.69,66.72,christians,3,10,21.3,71.0,1.09,53.4,18.9
4,Africa,Burkina,1.140625,53.97409090909091,19.325000000000003,4.532128205128205,67.1838775510204,63.17142857142857,christians,0,5,16.957894736842103,68.21315789473685,-0.7240816326530614,52.490909090909085,12.446808510638295
5,Africa,Burundi,0.1,53.97409090909091,5.3,3.775,64.56,60.85,christians,0,3,16.957894736842103,68.21315789473685,-1.41,52.490909090909085,5.4
6,Africa,Cameroon,0.4,65.24,7.7,5.142,61.66,58.99,christians,0,6,6.6,71.6,-1.53,58.0,11.4
7,Africa,Cape Verde,1.140625,53.97409090909091,19.325000000000003,4.532128205128205,67.1838775510204,63.17142857142857,christians,3,5,16.957894736842103,68.21315789473685,-0.7240816326530614,52.490909090909085,12.446808510638295
8,Africa,Central African Republic,0.12,53.97409090909091,19.325000000000003,4.532128205128205,56.58,52.16,christians,1,4,46.1,50.7,-2.18,52.490909090909085,7.5
9,Africa,Chad,0.11,53.97409090909091,19.325000000000003,4.355,56.65,53.73,muslims,0,3,29.1,77.7,-1.26,52.490909090909085,6.1
10,Africa,Comoros,0.14,53.97409090909091,15.2,4.289,66.88,63.24,muslims,0,5,19.0,55.0,-0.29,52.490909090909085,7.8
11,Africa,Congo,1.05,53.97409090909091,13.5,5.342,66.73,63.67,christians,0,7,28.3,51.7,-0.9,87.9,9.6
12,Africa,"Congo, Democratic Republic of",1.140625,53.97409090909091,19.325000000000003,4.532128205128205,67.1838775510204,63.17142857142857,christians,0,5,16.957894736842103,68.21315789473685,-0.7240816326530614,52.490909090909085,12.446808510638295
13,Africa,Djibouti,1.62,53.97409090909091,18.3,4.532128205128205,70.16,65.84,muslims,1,5,13.5,68.7,-0.32,52.490909090909085,13.5
14,Africa,Egypt,2.32,46.83,36.6,4.283,74.95,70.23,muslims,0,7,4.9,97.0,-1.21,33.1,32.0
15,Africa,Egypt,2.32,46.83,36.6,4.283,74.95,70.23,muslims,0,7,4.9,97.0,-1.21,33.1,32.0
16,Africa,Equatorial Guinea,1.77,53.97409090909091,33.1,4.532128205128205,61.08,58.76,christians,1,5,16.957894736842103,68.21315789473685,-0.19,52.490909090909085,8.0
17,Africa,Eritrea,0.2,53.97409090909091,6.3,4.532128205128205,69.75,65.26,christians,0,5,16.957894736842103,68.21315789473685,-0.98,52.490909090909085,5.0
18,Africa,Ethiopia,0.1,49.3,10.9,4.275,69.8,65.86,christians,0,3,15.7,72.3,-1.74,59.4,4.5
19,Africa,Gabon,2.84,53.97409090909091,27.6,4.852,69.27,64.93,christians,1,9,16.1,81.0,-0.08,52.490909090909085,15.0
20,Africa,Gambia,0.12,53.97409090909091,19.1,5.051,64.73,61.8,muslims,0,4,12.2,64.3,0.25,52.7,10.3
21,Africa,Ghana,0.51,46.98,20.8,5.088,66.13,63.78,christians,1,7,7.1,60.0,0.13,43.8,10.9
22,Africa,Guinea,0.18,53.97409090909091,11.2,4.984,63.25,61.79,muslims,0,3,16.957894736842103,68.21315789473685,-0.64,74.1,7.7
23,Africa,Guinea-Bissau,0.18,53.97409090909091,6.7,4.532128205128205,61.33,57.31,muslims,1,4,25.1,43.0,-0.6,61.7,9.5
24,Africa,Ivory Coast,1.140625,53.97409090909091,19.325000000000003,5.306,67.1838775510204,63.17142857142857,christians,1,5,16.957894736842103,68.21315789473685,-0.7240816326530614,52.490909090909085,12.446808510638295
25,Africa,Kenya,0.33,60.14,13.6,4.607,69.87,65.04,christians,1,7,25.1,61.0,-1.0,60.9,7.1
26,Africa,Lesotho,0.15,53.97409090909091,7.2,3.512,58.9,52.52,christians,1,7,29.5,63.3,-0.33,52.490909090909085,16.6
27,Africa,Liberia,0.18,53.97409090909091,9.8,4.625,66.48,63.54,christians,0,5,36.6,41.3,-0.37,81.0,9.9
28,Africa,Libya,8.12,61.78,19.325000000000003,5.41,76.46,70.61,muslims,0,8,16.957894736842103,68.21315789473685,-2.48,33.2,32.5
29,Africa,Madagascar,0.12,53.97409090909091,5.9,4.208,69.92,66.53,christians,1,6,42.3,42.7,-0.46,52.490909090909085,5.3
30,Africa,Malawi,0.11,53.97409090909091,12.0,3.6,68.77,62.45,christians,0,5,16.6,69.7,-0.24,80.3,5.8
31,Africa,Mali,0.09,53.97409090909091,8.2,4.723,61.39,59.69,muslims,1,2,3.1,80.0,-2.15,52.490909090909085,8.6
32,Africa,Mauritania,0.62,53.97409090909091,13.6,4.227,67.24,63.88,muslims,0,5,8.5,81.3,-0.75,32.3,12.7
33,Africa,Mauritius,2.53,48.88,65.5,6.049,78.92,72.21,hindus,3,10,6.0,86.0,0.89,18.5,10.8
34,Africa,Morocco,1.64,48.66,40.8,4.918,78.66,76.17,muslims,0,6,3.7,99.7,-0.33,26.1,26.1
35,Africa,Mozambique,0.21,53.97409090909091,16.4,4.794,64.95,59.05,christians,3,4,16.957894736842103,68.21315789473685,-1.16,68.4,7.2
36,Africa,Namibia,1.65,65.21,19.6,4.574,67.67,61.83,christians,2,7,19.9,64.7,0.65,55.3,17.2
37,Africa,Niger,0.1,53.97409090909091,1.4,5.074,64.89,62.41,muslims,1,2,10.9,83.0,-1.74,50.0,5.5
38,Africa,Nigeria,0.44,64.06,4.9,4.759,56.75,54.8,christians,0,7,10.0,60.0,-1.86,42.8,8.9
39,Africa,Rwanda,0.12,24.89,16.9,3.415,72.16,67.75,christians,1,4,34.7,60.0,0.03,52.490909090909085,5.8
40,Africa,Sao Tome and Principe,1.140625,53.97409090909091,35.2,4.532128205128205,73.5,68.54,christians,0,5,12.5,52.7,0.48,52.490909090909085,12.4
41,Africa,Senegal,0.55,53.97409090909091,13.1,5.132,70.88,66.64,muslims,0,3,8.5,63.0,-0.02,35.8,8.8
42,Africa,Seychelles,5.43,53.97409090909091,51.4,4.532128205128205,77.71,70.26,christians,3,5,16.957894736842103,68.21315789473685,0.72,14.3,14.0
43,Africa,Sierra Leone,0.17,53.97409090909091,11.5,3.849,56.78,55.01,muslims,1,4,27.2,48.7,-0.24,83.0,8.7
44,Africa,Somalia,0.09,56.04,19.325000000000003,4.532128205128205,60.11,56.62,muslims,0,5,16.957894736842103,68.21315789473685,-2.52,52.490909090909085,8.3
45,Africa,South Africa,6.95,76.86,24.6,4.956,68.42,61.46,christians,10,10,5.5,79.7,-0.24,52.490909090909085,28.3
46,Africa,South Sudan,0.37,53.97409090909091,19.325000000000003,4.532128205128205,60.31,57.21,christians,0,5,16.957894736842103,68.21315789473685,-2.17,85.1,12.446808510638295
47,Africa,Sudan,0.33,42.34,22.3,4.532128205128205,68.03,64.18,muslims,0,4,11.8,74.0,-1.76,46.4,12.446808510638295
48,Africa,Swaziland,1.140625,53.97409090909091,19.325000000000003,4.532128205128205,67.1838775510204,63.17142857142857,christians,0,5,16.957894736842103,68.21315789473685,-0.7240816326530614,52.490909090909085,12.446808510638295
49,Africa,Tanzania,0.18,56.0,18.4,3.623,68.25,64.52,christians,0,6,16.957894736842103,68.21315789473685,-0.7240816326530614,52.490909090909085,12.446808510638295
50,Africa,Togo,0.31,53.97409090909091,5.1,4.107,63.08,61.16,christians,0,5,21.0,56.3,-0.92,61.8,8.4
51,Africa,Tunisia,2.6,43.69,52.6,4.596,79.34,75.37,muslims,0,7,2.5,99.7,-0.63,20.0,26.9
52,Africa,Uganda,0.13,56.12,17.6,4.636,66.67,61.99,christians,0,6,16.957894736842103,68.21315789473685,-0.78,74.8,5.3
53,Africa,Zambia,0.26,43.62,13.4,4.073,67.71,61.66,christians,0,7,32.6,58.3,-0.13,52.0,8.1
54,Africa,Zimbabwe,0.72,59.3,16.8,3.145,63.66,60.39,christians,1,9,16.957894736842103,68.21315789473685,-1.08,67.0,15.5
55,Asia,Afghanistan,0.28,76.31,28.0,2.523,67.59,64.47,muslims,0,4,23.0,58.0,-2.73,54.3,5.5
56,Asia,Bahrain,17.15,25.64,56.6,6.647,78.88,76.87,muslims,2,10,8.394594594594595,82.4108108108108,-0.59,14.823076923076922,29.8
57,Asia,Bangladesh,0.47,63.9,27.3,5.025,75.6,71.8,muslims,1,6,12.5,59.0,-0.92,31.5,3.6
58,Asia,Bhutan,2.28,40.91833333333333,31.2,5.3429166666666665,73.33,72.27,buddhists,1,4,8.394594594594595,82.4108108108108,1.02,14.823076923076922,6.4
59,Asia,Brunei,18.28,29.0,51.43421052631579,5.3429166666666665,77.33439024390243,72.6390243902439,muslims,0,9,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
60,Asia,Burma (Myanmar),7.370952380952381,40.91833333333333,51.43421052631579,5.3429166666666665,77.33439024390243,72.6390243902439,christians,2,9,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
61,Asia,Cambodia,0.41,51.13,34.2,4.83,72.69,68.2,buddhists,4,5,7.7,65.3,-0.24,44.9,3.9
62,Asia,China,7.38,30.14,59.4,5.339,79.73,75.36,unaffiliated,4,8,2.5,131.0,0.09,14.823076923076922,16.843902439024394
63,Asia,East Timor,7.370952380952381,40.91833333333333,51.43421052631579,5.3429166666666665,77.33439024390243,72.6390243902439,christians,3,9,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
64,Asia,India,1.91,44.43,19.4,3.819,71.8,69.16,hindus,6,7,13.2,64.0,-0.86,14.823076923076922,3.9
65,Asia,Indonesia,2.03,45.93,28.4,5.345,74.64,70.12,muslims,4,8,5.9,68.0,-0.5,7.6,6.9
66,Asia,Iran,8.08,49.38,53.6,4.721,78.54,76.22,muslims,1,9,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
67,Asia,Iraq,4.44,48.42,49.6,4.854,73.21,68.96,muslims,1,9,18.8,63.7,-2.53,14.823076923076922,30.4
68,Asia,Israel,8.04,31.47,92.8,7.157,84.91,81.98,jews,10,13,2.5,125.7,-0.83,12.3,26.1
69,Asia,Japan,9.7,22.19,95.0,5.94,88.09,81.91,unaffiliated,5,13,2.5,86.0,1.04,3.2,4.3
70,Asia,Jordan,2.38,39.96,62.6,4.395,76.82,73.28,muslims,2,11,8.8,69.3,-0.32,32.4,35.5
71,Asia,Kazakhstan,13.01,53.77,55.1,6.152,77.97,69.55,muslims,3,12,2.5,100.0,-0.26,2.1,21.0
72,Asia,Kazakhstan,13.01,53.77,55.1,6.152,77.97,69.55,muslims,3,12,2.5,100.0,-0.26,2.1,21.0
73,Asia,Kazakhstan,13.01,53.77,55.1,6.152,77.97,69.55,muslims,3,12,2.5,100.0,-0.26,2.1,21.0
74,Asia,Kazakhstan,13.01,53.77,55.1,6.152,77.97,69.55,muslims,3,12,2.5,100.0,-0.26,2.1,21.0
75,Asia,North Korea,2.32,40.91833333333333,51.43421052631579,5.3429166666666665,76.37,69.26,unaffiliated,1,9,42.9,54.3,-0.4,14.823076923076922,6.8
76,Asia,South Korea,11.85,26.68,90.7,5.845,86.42,80.46,unaffiliated,4,9,2.5,96.7,0.56,5.4,4.7
77,Asia,Kuwait,25.65,33.42,67.4,6.106,77.06,75.09,muslims,1,7,2.5,99.7,0.24,12.3,37.9
78,Asia,Kyrgyzstan,1.14,56.87,45.5,5.744,76.03,67.85,muslims,2,11,5.8,83.7,-0.43,6.3,16.6
79,Asia,Laos,0.66,40.91833333333333,26.5,5.03,70.79,67.04,buddhists,1,5,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
80,Asia,Lebanon,3.26,46.77,59.7,4.584,81.17,77.53,muslims,2,9,6.8,69.7,-1.65,14.823076923076922,32.0
81,Asia,Malaysia,8.68,57.29,57.6,5.384,78.78,74.71,muslims,0,10,3.2,77.0,0.12,15.1,15.6
82,Asia,Maldives,2.59,55.34,47.8,5.198,81.58,78.53,muslims,0,9,8.394594594594595,82.4108108108108,0.41,14.823076923076922,8.6
83,Asia,Mongolia,6.08,56.01,43.1,5.677,74.79,66.43,buddhists,4,10,6.3,93.7,0.79,27.1,20.6
84,Asia,Nepal,0.29,36.01,27.0,5.269,73.23,70.13,hindus,5,5,4.2,73.7,-0.2,31.6,4.1
85,Asia,Oman,19.61,20.34,58.3,5.3429166666666665,80.94,76.9,muslims,0,10,8.4,84.4,0.37,14.823076923076922,27.0
86,Asia,Pakistan,0.87,42.51,17.4,4.934,68.9,66.77,muslims,3,5,12.1,65.7,-1.85,12.8,8.6
87,Asia,Philippines,1.22,42.46,39.0,5.88,75.92,67.67,christians,4,9,7.5,62.3,-0.79,14.823076923076922,6.4
88,Asia,Qatar,37.29,12.13,66.5,5.3429166666666665,82.49,79.78,muslims,0,10,8.394594594594595,82.4108108108108,0.67,14.823076923076922,35.1
89,Asia,Russia,11.44,39.99,55.4,5.477,78.15,67.62,christians,2,12,2.5,102.0,-0.73,7.9,23.1
90,Asia,Russia,11.44,39.99,55.4,5.477,78.15,67.62,christians,2,12,2.5,102.0,-0.73,7.9,23.1
91,Asia,Russia,11.44,39.99,55.4,5.477,78.15,67.62,christians,2,12,2.5,102.0,-0.73,7.9,23.1
92,Asia,Saudi Arabia,15.94,25.23,59.3,6.494,77.37,74.47,muslims,0,10,3.7,88.3,-0.66,14.823076923076922,35.4
93,Asia,Singapore,8.56,27.96,93.2,6.377,86.15,82.06,buddhists,5,12,8.394594594594595,82.4108108108108,1.47,4.1,6.1
94,Asia,Sri Lanka,0.88,41.39,48.4,4.325,80.74,74.25,buddhists,1,11,4.3,67.0,-0.05,6.5,5.2
95,Asia,Syria,2.18,67.18,51.43421052631579,5.3429166666666665,79.11,73.13,muslims,1,9,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
96,Asia,Tajikistan,0.7,40.91833333333333,30.9,5.466,74.11,69.5,muslims,2,11,11.6,69.7,-0.52,14.823076923076922,14.2
97,Asia,Thailand,3.93,39.35,55.8,5.985,81.34,74.16,buddhists,5,8,7.7,61.3,-0.62,24.8,10.0
98,Asia,Turkey,4.61,39.62,52.6,4.948,81.21,75.57,muslims,2,8,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
99,Asia,Turkey,4.61,39.62,52.6,4.948,81.21,75.57,muslims,2,8,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
100,Asia,Turkey,4.61,39.62,52.6,4.948,81.21,75.57,muslims,2,8,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
101,Asia,Turkey,4.61,39.62,52.6,4.948,81.21,75.57,muslims,2,8,8.394594594594595,82.4108108108108,-0.38047619047619047,14.823076923076922,16.843902439024394
102,Asia,Turkmenistan,14.0,40.91833333333333,47.3,5.066,72.19,65.1,muslims,1,10,3.5,90.0,-0.29,14.823076923076922,18.6
103,Asia,United Arab Emirates,23.37,15.23,67.2,6.561,79.8,77.79,muslims,0,12,6.4,82.0,0.63,14.823076923076922,31.7
